"End Date","USD/EUR","","","",""
"2014-05-11","0.7212",,,,
"2014-05-04","0.7219",,,,
"2014-04-27","0.7236",,,,
"2014-04-20","0.7229",,,,
"2014-04-13","0.7243",,,,
"2014-04-06","0.7272",,,,
"2014-03-30","0.7255",,,,
"2014-03-23","0.7213",,,,
"2014-03-16","0.7201",,,,
"2014-03-09","0.7248",,,,
"2014-03-02","0.7277",,,,
"2014-02-23","0.7286",,,,
"2014-02-16","0.7325",,,,
"2014-02-09","0.7384",,,,
"2014-02-02","0.7344",,,,
"2014-01-26","0.7355",,,,
"2014-01-19","0.7339",,,,
"2014-01-12","0.7344",,,,
"2014-01-05","0.7288",,,,
"2013-12-29","0.7297",,,,
"2013-12-22","0.7289",,,,
"2013-12-15","0.7275",,,,
"2013-12-08","0.7345",,,,
"2013-12-01","0.7368",,,,
"2013-11-24","0.7404",,,,
"2013-11-17","0.7444",,,,
"2013-11-10","0.7428",,,,
"2013-11-03","0.7306",,,,
"2013-10-27","0.7273",,,,
"2013-10-20","0.7357",,,,
"2013-10-13","0.7379",,,,
"2013-10-06","0.7377",,,,
"2013-09-29","0.7402",,,,
"2013-09-22","0.7449",,,,
"2013-09-15","0.7542",,,,
"2013-09-08","0.7585",,,,
"2013-09-01","0.7508",,,,
"2013-08-25","0.7484",,,,
"2013-08-18","0.7514",,,,
"2013-08-11","0.7510",,,,
"2013-08-04","0.7538",,,,
"2013-07-28","0.7567",,,,
"2013-07-21","0.7630",,,,
"2013-07-14","0.7731",,,,
"2013-07-07","0.7714",,,,
"2013-06-30","0.7653",,,,
"2013-06-23","0.7527",,,,
"2013-06-16","0.7522",,,,
"2013-06-09","0.7627",,,,
"2013-06-02","0.7720",,,,
"2013-05-26","0.7757",,,,
"2013-05-19","0.7741",,,,
"2013-05-12","0.7645",,,,
"2013-05-05","0.7629",,,,
"2013-04-28","0.7673",,,,
"2013-04-21","0.7642",,,,
"2013-04-14","0.7656",,,,
"2013-04-07","0.7769",,,,
"2013-03-31","0.7771",,,,
"2013-03-24","0.7718",,,,
"2013-03-17","0.7681",,,,
"2013-03-10","0.7675",,,,
"2013-03-03","0.7630",,,,
"2013-02-24","0.7521",,,,
"2013-02-17","0.7468",,,,
"2013-02-10","0.7402",,,,
"2013-02-03","0.7388",,,,
"2013-01-27","0.7488",,,,
"2013-01-20","0.7498",,,,
"2013-01-13","0.7604",,,,
"2013-01-06","0.7601",,,,
"2012-12-30","0.7571",,,,
"2012-12-23","0.7577",,,,
"2012-12-16","0.7678",,,,
"2012-12-09","0.7684",,,,
"2012-12-02","0.7711",,,,
"2012-11-25","0.7790",,,,
"2012-11-18","0.7856",,,,
"2012-11-11","0.7825",,,,
"2012-11-04","0.7739",,,,
"2012-10-28","0.7700",,,,
"2012-10-21","0.7676",,,,
"2012-10-14","0.7723",,,,
"2012-10-07","0.7729",,,,
"2012-09-30","0.7746",,,,
"2012-09-23","0.7664",,,,
"2012-09-16","0.7744",,,,
"2012-09-09","0.7915",,,,
"2012-09-02","0.7976",,,,
"2012-08-26","0.8032",,,,
"2012-08-19","0.8116",,,,
"2012-08-12","0.8095",,,,
"2012-08-05","0.8135",,,,
"2012-07-29","0.8206",,,,
